date,title,energy
2026/1/04,[情報] 8046 南電 114年12月營收,24
2026/1/04,[新聞] 中國虛假繁榮 陸媒揭經濟溫差文章遭刪,10
2026/1/04,Re: [新聞] 川普宣布美國「暫管」委內瑞拉　派石油,10
2026/1/04,[創作] 韭市集(網站),0
2026/1/04,[新聞] 川普宣布美國「暫管」委內瑞拉　派石油,99
2026/1/04,[創作] 大時代2025第二話第三話(完),6
2026/1/04,[公告] 0104 水桶,12
2026/1/04,[請益] 債券該砍還是該留?,99
2026/1/04,Re: [請益] 債券該砍還是該留?,23
2026/1/04,[心得] 依舊晚了幾天的2025年報,3
2026/1/05,[情報]  4743合一 12月營收,17
2026/1/05,[公告] Stock 板 開始舉辦樂透!,16
2026/1/05,[新聞] 誰來管委內瑞拉？川普屬意魯比歐當「總,99
2026/1/05,[新聞] TrendForce: 原廠產能傾向server應用，1Q,7
2026/1/05,[情報] 2344 華邦電[華東董事] 賣華東約賺2.88億,43
2026/1/05,[情報] 2323 中環 買順達，賣台積電、鴻海(皆賺),23
2026/1/05,[情報] 2313 華通 12月營收,27
2026/1/05,[情報] 2408 南亞科 11月自結 1.37,93
2026/1/05,[情報] 0105 上市外資買賣超排行,99
2026/1/05,[新聞] 台積電2奈米洩密案延燒！ 再揪1工程師竊,40
2026/1/05,[標的] 2618長榮航 空,25
2026/1/05,[心得] 鈾價/鈾供需量對4U之研究,75
2026/1/05,[情報] 2317 鴻海 114年12月營收,71
2026/1/05,[公告] Stock 樂透取消,11
2026/1/05,Re: [標的] 3481群創 質押護盤多,0
2026/1/05,[情報] 8027 鈦昇 12月營收,12
2026/1/05,[新聞] 鴻海AI放量帶動 2025全年業績突破8兆創新,32
2026/1/05,Re: [情報] 2408 南亞科 11月自結 1.37,8
2026/1/05,[新聞] Fed卡什卡里：利率已接近中性 降息周期,38
2026/1/05,Re: [標的] 2330 台積電 無腦空,2
2026/1/05,[新聞] 三星宣示AI全線進攻、Micro RGB電視革新,25
2026/1/05,[新聞] 防美突襲釀呆帳 陸銀急查委國貸款風險,15
2026/1/05,[新聞] 獨／改善台股結構失衡 證交所將推出「價,72
2026/1/05,Re: [標的] 6945.TW 圓祥生技 50倍獲利的賭局,23
2026/1/05,[標的] 5289宜鼎 潛力成長多,25
2026/1/05,[心得] 2025年報,24
2026/1/05,[標的] SMU.US 重返榮耀多,20
2026/1/05,[新聞] 記憶體飆不停！全球消費性電子準備大爆漲,28
2026/1/05,[新聞] 記憶體漲不停 DRAM Q1合約價再漲5成、NAN,16
2026/1/05,[情報] 0105 上市櫃股票週轉率排行,0
2026/1/05,[情報] 0105 上市櫃外資投信買超金額排行,3
2026/1/05,[新聞] HBM帶動封測需求噴發！華東跳空飛升漲停,8
2026/1/05,[情報] 115年01月05日信用交易統計,61
2026/1/05,[新聞] 華碩設新團隊 衝Physical AI,11
2026/1/05,[情報] 6446 藥華藥 2025 12月營收,12
2026/1/05,"Re: [情報] 2323 中環 買禾榮科,波若威,上詮,賣順達",1
2026/1/05,[情報] 00981A 持股納入0050與0052,99
2026/1/05,[新聞] 0050：台積電大漲 散戶湧入,18
2026/1/05,[情報] 8086 宏捷科 12月營收,17
2026/1/05,[標的] 華邦電 2344 (空),99
2026/1/05,[標的] AES-KY 6781 液冷BBU多,13
2026/1/05,[新聞]台股衝破 3 萬點關卡 「面板三虎」群創、,37
2026/1/05,Re: [標的] 工信 新手爸爸想賺尿布錢多,39
2026/1/05,Re: [標的] 大盤 大小奶多,7
2026/1/05,Re: [標的] 6239力成 MU+KIOXIA訂單多,7
2026/1/05,[標的] 2330.TW 台積電 討論 該賣NV求GG？,12
2026/1/05,[新聞] 焦點股》晶豪科：美光帶動 早盤放煙火,6
2026/1/05,[標的] 台北大盤 年底3萬5多,19
2026/1/05,[請益] 台積個股期異常成交,18
2026/1/05,Re: [標的] 3006 晶豪科 記憶體全部出清,17
2026/1/05,[標的] 3147 大綜 跟著台G多,8
2026/1/05,[情報] 台股30000點啦！！！！！,99
2026/1/05,[新聞] NOR Flash傳暴漲50％？別只看華邦電 這,4
2026/1/05,[閒聊] 2026/01/05 盤中閒聊,99
2026/1/05,[新聞] 金融業前11月大砍逾兩千億台股 壽險狂殺,11
2026/1/05,[新聞] 大立光、台積電強強聯手 揮軍AI,7
2026/1/05,Re: [新聞] 再度暫停申購 元大美債20年又達募集,16
2026/1/05,[新聞] 台股首攻3萬點 阮清華：國安基金退場前不,51
2026/1/05,[新聞] 面板雙虎 CES 展秀肌肉,20
2026/1/05,Re: [標的] VT豬盤勢觀察 VT多,22
2026/1/05,[標的] 5234達興材料 蛻變中的特化龍頭,21
2026/1/05,"[請益]當初說要留10%現金,結果這10%反而虧慘了..",73
2026/1/05,Re: [情報] 115年01月05日 三大法人買賣金額統計表,0
2026/1/05,Re: [標的] 華邦電 2344 (空),20
2026/1/05,[情報] 115年01月05日 三大法人買賣金額統計表,99
2026/1/05,[新聞] 驚人！台股7658億元交易量史上第二大 證,37
2026/1/05,[情報] 0105 上市投信買賣超排行,56
2026/1/05,Re: [新聞] 台股站上3萬點高檔 散戶：沒台積電根本沒,48
2026/1/05,Re: [情報] 台積電 11月營收,15
2026/1/05,[新聞] 台股站上3萬點高檔 散戶：沒台積電根本沒,98
2026/1/05,[情報]  6265 方土昶 11月自結0.277,15
2026/1/05,[情報] 3443 創意 12月營收,13
2026/1/05,[閒聊] 2026/01/05 盤後閒聊,46
2026/1/05,Re: [標的] 2330.TW 台積電 討論 該賣NV求GG？,32
2026/1/05,[情報] 台股前十大漲點紀錄(今天第六名),52
2026/1/05,"[心得] 2025績效回顧,高收入其實是一種詛咒?",18
2026/1/05,Re: [標的] 3227 原相 中長多,3
2026/1/05,Re: [新聞] 教授:台股明年上3萬點！先進製程贏者全,12
2026/1/05,[標的] 台指期 空,99
2026/1/05,[新聞] 《半導體》台積電飆1650元新天價 市值衝,9
2026/1/06,[請益] 要如何勸動長輩買0050這種市值型ETF,99
2026/1/06,Re: [請益] 要做什麼功課才敢在這種盤抄底？,9
2026/1/06,[標的] 3312弘憶股(華邦電第二) 低檔歐印多,34
2026/1/06,[新聞] 中方：禁止所有兩用物項對日本軍事用戶、軍事用途，以,15
2026/1/06,[請益] 要做什麼功課才敢在這種盤抄底？,99
2026/1/06,[公告] Stock 樂透開獎,39
2026/1/06,[情報] 0106 上市外資買賣超排行,99
2026/1/06,[情報] 3264 欣銓自結114/11月單月EPS:0.63,6
2026/1/06,Re: [新聞] 台灣人比較盤？金色三麥日本定價「比台灣,5
2026/1/06,[新聞] 星宇員工不滿年終僅1個月 張國煒「聽到了,81
2026/1/06,[情報] 3324 雙鴻 114年12月營收,14
2026/1/06,[情報] 2408 南亞科 12月營收 Y+444.87% m+18.18%,99
2026/1/06,[新聞] 全台擁954店麥味登！揚秦2025年營收突破3,49
2026/1/06,[標的] 3019亞光補漲多,20
2026/1/06,[新聞] 華邦電創新高！藝人香蕉「跌到13元也沒賣,28
2026/1/06,[創作] 一個人想著畢業快樂,49
2026/1/06,[情報] 2323 中環 買華星光1648張，目前剩1193張,0
2026/1/06,[新聞] 台股狂熱、散戶借錢也要上車！ 彭博揭 :,68
2026/1/06,"[情報] 5312 寶島科 賣群聯 賺75,509,321元",6
2026/1/06,[新聞] 謝金河：2026年有兩件事不能做,99
2026/1/06,[新聞] 委內瑞拉變天 中國債權、貿易及投資可能,10
2026/1/06,[新聞]橋水達里歐警告：AI熱潮正處於泡沫初期階段,66
2026/1/06,[新聞]黃仁勳「兆元宴」又要來了!最快1月再訪台灣,22
2026/1/06,[情報] 2838 聯邦銀12月自結 0.11 累計 1.27,1
2026/1/06,[情報] 0106 上市櫃股票週轉率排行,0
2026/1/06,Re: [標的] 2330 台積電 無腦空,67
2026/1/06,[新聞] 南亞科第一季DDR4合約價有望大漲90%，凱基高喊目標價300,61
2026/1/06,[情報] 2545 皇翔 賣台達電 賺1485.4萬,7
2026/1/06,[情報] 0106 上市櫃外資投信買超金額排行,1
2026/1/06,[新聞] 美光搶產能真相曝光 銅鑼廠三期露玄機、,19
2026/1/06,[情報] 2026年前三個開盤日都創歷史新高,9
2026/1/06,[情報] 115年01月06日信用交易統計,33
2026/1/06,[請益] 台股現在是末升段嗎,99
2026/1/06,[新聞] 177年撒隆巴斯藥廠傳私有化　消息一出股,4
2026/1/06,[新聞] 委內瑞拉變局震盪油市 美債先漲為快,10
2026/1/06,Re: [請益] 要如何勸動長輩買0050這種市值型ETF,16
2026/1/06,[標的] 7744崴寶,17
2026/1/06,[新聞] 禮來Mounjaro減肥針在中國減價近七成,32
2026/1/06,[情報] 115年01月06日 三大法人買賣金額統計表,100
2026/1/06,[情報] 2498 宏達電 114年12月營收,26
2026/1/06,Re: [請益] 台積電對於巴菲特的價值投資？,38
2026/1/06,Re: [新聞] 防美突襲釀呆帳 陸銀急查委國貸款風險,2
2026/1/06,Re: [標的] 7843 英柏得 聯電集團隱藏優質記憶體,1
2026/1/06,[新聞] 焦點股》國巨*：磁珠產品漲價 價量齊揚,8
2026/1/06,[請益] 可聽AI的建議買股嗎,71
2026/1/06,[情報] LEU獲得9億美元撥款用以重啟核燃料生產,61
2026/1/06,[標的] 00885 富邦越南 今年依舊多？,9
2026/1/06,[新聞] 記憶體賺爆了！ 南亞科去年11月單月獲利,48
2026/1/06,[情報] 2026/01/06 11:00 記憶體報價 漲,56
2026/1/06,[公告] 早晨財經速水桶,19
2026/1/06,[新聞] 補教老師「押孤支」月薪35000翻到破億,67
2026/1/06,Re: [標的] 2409友達 最後一次加碼單,20
2026/1/06,[閒聊] 2026/01/06 盤中閒聊,99
2026/1/06,[新聞] 最多貴15元！路易莎「90種品項」調漲　限,46
2026/1/06,[標的] 7866丹立 未來潛力多,18
2026/1/06,[新聞] 快訊／川普要重振委國石油產業　美股開盤,39
2026/1/06,Re: [情報] 00981A 持股納入0050與0052,21
2026/1/06,[新聞] 熱門股／昔日「慘」業變飆股？群創劍指,15
2026/1/06,[新聞] 輝達參戰自駕小黃戰場！宣布2027偕伴測試,45
2026/1/06,[新聞] 電視面板 元月報價調漲,17
2026/1/06,[情報] 群創打破台股當日成交張數紀錄,99
2026/1/06,"Re: [情報] 2323 中環 買禾榮科,波若威,上詮,賣順達",0
2026/1/06,[新聞] 害怕被川普盯上封殺？義大利施壓輪胎大廠,8
2026/1/06,[情報] 0106 上市投信買賣超排行,38
2026/1/06,Re: [新聞] 台泥張安平：應減少進口水泥　否則將賠,12
2026/1/06,[新聞] 台灣人比較盤？金色三麥日本定價「比台灣,93
2026/1/06,[情報] 3260 威剛 12月營收 Y+101.21% M+3.79%,29
2026/1/06,[情報] 2884 玉山金 12月自結 單月0.12 累計2.12,24
2026/1/06,[情報] 5508 永信建 114年12月營收,10
2026/1/06,[新聞] 五角大廈「披薩指數」又暴漲12倍多！超越,27
2026/1/06,[新聞] 華邦電飆漲空軍出手！他喊估值溢價5成先,41
2026/1/06,[閒聊] 2026/01/06 盤後閒聊,72
2026/1/06,[請益] 父母退休投資請益,46
2026/1/06,[新聞]南亞科11月獲利衝新高　股價漲停至歷史最,26
2026/1/06,[標的] 3535晶彩科 人生精彩靠你晶彩多,12
2026/1/06,Re: [請益] 信貸買美債+大盤ETF 四年後需清償,5
2026/1/06,[標的] 6285啟碁 接棒吃多多,43
2026/1/06,[新聞] 蘇姿丰演講發表 Instinct MI455X 晶片，,23
2026/1/06,[請益] 台積電對於巴菲特的價值投資？,25
2026/1/06,[公告] Stock 板 開始舉辦樂透!,0
2026/1/07,[情報] FED 2025年12月份開始QE,20
2026/1/07,[新聞] 中國加強軍民兩用項目對日本出口管制,11
2026/1/07,[標的] 2451 創見 短期20% 多,22
2026/1/07,[新聞] 川普關稅會被打回票嗎？最高法院周五,28
